Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
05:44.2     	14.84 	75.3    	15.89
05:45.1     	15.07 	75.6    	15.88
05:46.0     	15.34 	76.0    	15.87
05:46.9     	15.47 	74.5    	15.87
05:47.9     	15.45 	75.3    	15.87
05:48.8     	15.45 	73.7    	15.87
05:49.6     	15.17 	73.1    	15.86
05:50.5     	14.98 	73.4    	15.85
05:51.4     	14.88 	73.9    	15.83
05:52.3     	14.86 	74.2    	15.81
05:53.2     	14.84 	74.5    	15.80
05:53.4     	14.84 	74.5    	15.79
05:54.1     	14.71 	74.3    	15.76
05:55.0     	14.67 	74.0    	15.73
05:55.9     	14.80 	75.1    	15.71
05:56.8     	14.81 	74.3    	15.69
05:57.6     	14.76 	74.2    	15.67
05:58.5     	14.83 	74.6    	15.65
05:59.5     	14.94 	75.7    	15.63
06:00.3     	15.03 	74.2    	15.61
06:01.3     	15.03 	74.3    	15.60
06:02.2     	15.20 	74.7    	15.59
06:03.1     	15.34 	74.4    	15.59
06:04.0     	15.56 	74.4    	15.61
06:04.9     	15.65 	72.4    	15.62
06:05.8     	15.44 	72.7    	15.63
06:06.6     	15.42 	72.7    	15.65
06:07.6     	15.55 	72.0    	15.66
06:08.5     	15.34 	71.8    	15.67
06:09.3     	15.62 	73.2    	15.70
06:10.2     	15.82 	72.5    	15.72
06:11.1     	15.54 	70.3    	15.74
06:12.0     	15.20 	70.3    	15.74
06:12.9     	15.15 	71.3    	15.77
06:13.9     	15.09 	70.9    	15.77
06:14.7     	14.94 	70.6    	15.78
06:15.7     	14.81 	70.8    	15.78
06:16.5     	14.80 	71.4    	15.79
06:17.4     	14.73 	72.0    	15.78
06:18.3     	14.82 	72.6    	15.78
06:19.2     	15.04 	73.0    	15.79
06:20.1     	15.12 	72.9    	15.79
06:21.0     	15.16 	73.0    	15.80
06:21.9     	15.30 	73.3    	15.81
06:22.7     	15.35 	72.8    	15.83
06:23.6     	15.33 	72.6    	15.84
06:24.5     	15.35 	72.7    	15.86
06:25.4     	15.31 	72.3    	15.87
06:26.3     	15.24 	72.2    	15.89
06:27.3     	15.30 	73.2    	15.90
06:28.2     	15.45 	73.5    	15.92
06:29.1     	15.44 	74.4    	15.93
06:30.0     	15.58 	74.9    	15.95
06:30.8     	15.62 	73.6    	15.96
06:31.7     	15.55 	74.3    	15.98
06:32.6     	15.68 	74.8    	15.99
06:33.5     	15.57 	73.7    	16.00
06:34.4     	15.55 	74.7    	16.02
06:35.3     	15.80 	75.8    	16.04
06:36.2     	15.88 	75.4    	16.06
06:37.1     	15.96 	75.0    	16.09
06:38.0     	15.82 	73.9    	16.11
06:38.8     	15.77 	73.4    	16.13
06:39.7     	15.65 	72.6    	16.15
06:40.8     	15.62 	73.1    	16.16
06:41.6     	15.63 	73.0    	16.17
06:42.5     	15.62 	72.6    	16.18
06:43.4     	15.25 	71.9    	16.19
06:44.3     	15.35 	73.3    	16.19
06:45.2     	15.30 	73.1    	16.19
06:46.1     	15.12 	72.3    	16.17
06:46.9     	14.89 	72.3    	16.14
06:47.9     	14.91 	73.7    	16.12
06:48.8     	15.10 	73.7    	16.10
06:49.6     	15.08 	73.3    	16.08
06:50.5     	14.93 	72.4    	16.06
06:51.4     	14.98 	73.2    	16.05
06:52.3     	14.93 	72.8    	16.02
06:53.2     	14.86 	73.2    	15.98
06:54.1     	14.88 	73.0    	15.96
06:55.1     	15.02 	74.1    	15.94
06:56.0     	15.24 	74.3    	15.93
06:56.9     	15.23 	74.0    	15.92
06:57.7     	15.44 	75.1    	15.92
06:58.6     	15.74 	75.7    	15.93
06:59.5     	15.81 	73.7    	15.94
07:00.4     	15.66 	72.7    	15.95
07:01.3     	15.56 	73.7    	15.96
07:02.2     	15.60 	73.5    	15.97
07:03.1     	15.41 	73.2    	15.97
07:04.0     	15.19 	73.9    	15.97
07:04.9     	15.17 	73.2    	15.97
07:05.7     	15.24 	73.9    	15.97
07:06.6     	15.24 	74.0    	15.97
07:07.5     	15.31 	73.9    	15.97
07:08.4     	15.15 	72.9    	15.96
07:09.3     	15.10 	73.8    	15.95
07:10.3     	15.34 	75.3    	15.95
07:11.2     	15.41 	74.5    	15.95
07:12.1     	15.35 	73.1    	15.94
07:13.0     	15.26 	74.2    	15.94
07:13.8     	15.32 	74.8    	15.93
07:14.7     	15.39 	74.1    	15.93
07:15.7     	15.26 	73.6    	15.92
07:16.5     	15.42 	75.3    	15.92
07:17.4     	15.56 	74.7    	15.92
07:18.3     	15.76 	75.1    	15.93
07:19.2     	15.83 	74.2    	15.94
07:20.1     	15.52 	73.1    	15.95
07:21.0     	15.47 	73.5    	15.96
07:21.8     	15.44 	74.0    	15.97
07:22.8     	15.52 	73.6    	15.98
07:23.8     	15.30 	72.5    	15.98
07:24.6     	14.98 	71.9    	15.97
07:25.5     	14.79 	72.3    	15.95
07:26.4     	14.64 	72.7    	15.92
