Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
05:41.6     	14.47 	63.5    	15.76
05:42.5     	14.43 	66.7    	15.75
05:43.4     	14.72 	68.4    	15.74
05:44.2     	15.02 	66.2    	15.74
05:45.1     	14.90 	65.0    	15.73
05:46.0     	14.78 	65.4    	15.73
05:47.0     	14.87 	65.9    	15.73
05:47.9     	14.87 	64.9    	15.72
05:48.8     	14.89 	67.0    	15.73
05:49.6     	14.80 	63.7    	15.72
05:50.5     	14.80 	67.8    	15.72
05:51.4     	15.12 	66.4    	15.73
05:52.3     	14.84 	64.0    	15.74
05:53.2     	14.84 	65.4    	15.75
05:54.1     	14.92 	65.8    	15.76
05:54.9     	14.79 	64.8    	15.78
05:55.8     	15.02 	67.5    	15.79
05:56.9     	15.02 	65.6    	15.80
05:57.7     	14.98 	67.0    	15.82
05:58.6     	15.11 	65.7    	15.82
05:59.5     	15.05 	65.2    	15.82
06:00.4     	14.86 	64.5    	15.82
06:01.3     	14.68 	65.2    	15.81
06:02.2     	14.77 	66.6    	15.81
06:03.0     	15.05 	67.8    	15.82
06:03.9     	15.04 	66.6    	15.83
06:04.8     	15.22 	68.7    	15.86
06:05.7     	15.55 	68.9    	15.89
06:06.6     	15.61 	68.0    	15.92
06:07.6     	15.79 	68.2    	15.96
06:08.5     	15.45 	64.8    	16.00
06:09.4     	15.47 	66.9    	16.04
06:10.3     	15.48 	67.3    	16.08
06:11.1     	15.54 	67.6    	16.12
06:12.0     	15.49 	66.9    	16.16
06:12.9     	15.23 	64.4    	16.19
06:13.8     	15.29 	68.1    	16.23
06:14.7     	15.34 	68.2    	16.26
06:15.6     	15.28 	66.3    	16.28
06:16.5     	15.10 	64.7    	16.31
06:17.4     	15.00 	66.1    	16.33
06:18.3     	15.21 	69.0    	16.35
06:19.3     	15.48 	68.5    	16.37
06:20.1     	15.71 	70.1    	16.39
06:21.0     	15.71 	66.1    	16.40
06:21.9     	15.68 	67.6    	16.42
06:22.8     	15.51 	66.1    	16.43
06:23.7     	15.52 	65.6    	16.43
06:24.6     	15.23 	65.9    	16.43
06:25.4     	15.13 	65.3    	16.43
