Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
05:02.5     	14.65 	59.1    	19.01
05:03.5     	14.60 	57.6    	18.99
05:04.4     	14.53 	57.0    	18.96
05:05.2     	14.49 	60.1    	18.92
05:06.1     	14.60 	64.1    	18.90
05:07.0     	14.61 	62.7    	18.91
05:07.9     	14.79 	66.9    	18.93
05:08.9     	15.07 	67.3    	18.95
05:09.8     	15.04 	60.5    	18.97
05:10.7     	14.86 	58.2    	18.99
05:11.6     	14.75 	58.2    	18.98
05:12.5     	14.84 	62.7    	18.94
05:13.4     	14.91 	64.9    	18.91
05:14.2     	14.96 	64.5    	18.87
05:15.1     	15.00 	64.7    	18.82
05:16.0     	14.94 	61.5    	18.75
05:16.9     	14.97 	60.0    	18.72
05:17.8     	14.91 	58.4    	18.70
05:18.7     	14.87 	59.1    	18.64
05:19.6     	14.68 	61.0    	18.53
05:20.5     	14.42 	57.9    	18.35
05:21.4     	14.33 	56.2    	18.20
05:22.2     	14.13 	56.1    	18.06
05:23.2     	13.97 	57.3    	17.93
05:24.2     	13.90 	57.0    	17.80
05:25.0     	13.89 	58.7    	17.67
05:25.9     	13.95 	57.5    	17.56
05:26.8     	13.96 	57.2    	17.46
05:27.7     	13.94 	59.4    	17.39
05:28.6     	14.02 	59.7    	17.33
05:29.5     	14.02 	59.6    	17.30
05:30.3     	14.06 	59.7    	17.27
05:31.2     	14.13 	59.9    	17.20
05:32.2     	14.28 	59.7    	17.15
05:33.0     	14.30 	57.6    	17.10
05:33.9     	14.34 	58.5    	17.07
05:34.8     	14.40 	60.3    	17.06
05:35.7     	14.51 	61.1    	17.03
05:36.7     	14.60 	59.1    	16.99
05:37.6     	14.69 	59.6    	16.97
05:38.4     	14.79 	58.2    	16.94
05:39.4     	14.86 	57.8    	16.93
05:40.3     	14.90 	57.4    	16.92
05:41.1     	14.89 	58.1    	16.92
05:42.0     	14.81 	60.0    	16.92
05:42.9     	14.77 	58.6    	16.93
05:43.8     	14.79 	58.5    	16.97
05:44.7     	14.83 	59.0    	17.00
05:45.6     	14.85 	57.8    	17.05
05:46.4     	14.85 	58.3    	17.09
05:47.4     	14.85 	59.4    	17.14
05:48.3     	14.88 	61.0    	17.18
05:49.1     	14.87 	61.4    	17.21
05:50.0     	14.88 	61.8    	17.25
05:51.0     	15.06 	60.3    	17.30
05:51.9     	14.99 	58.0    	17.34
05:52.8     	14.90 	56.2    	17.39
05:53.7     	14.55 	54.9    	17.42
05:54.6     	14.49 	55.6    	17.45
05:55.5     	14.51 	58.2    	17.47
05:56.4     	14.70 	59.6    	17.48
05:57.2     	14.82 	59.9    	17.48
05:58.1     	14.89 	58.6    	17.49
05:59.0     	14.97 	58.8    	17.52
05:59.9     	15.08 	59.7    	17.56
06:00.8     	15.16 	60.3    	17.59
06:01.7     	15.43 	62.4    	17.62
06:02.6     	15.48 	59.9    	17.64
06:03.5     	15.42 	60.6    	17.62
06:04.5     	15.42 	60.9    	17.60
06:05.3     	15.26 	56.9    	17.60
06:06.2     	15.00 	55.0    	17.63
06:07.2     	14.87 	57.1    	17.63
06:08.0     	14.79 	56.5    	17.62
06:08.9     	14.73 	59.3    	17.62
06:09.8     	14.78 	60.9    	17.63
06:10.7     	14.82 	61.0    	17.65
06:11.6     	14.87 	60.8    	17.67
06:12.5     	14.93 	61.7    	17.70
06:13.3     	14.99 	61.9    	17.72
06:14.2     	14.96 	59.6    	17.72
06:15.1     	14.98 	61.6    	17.71
06:16.0     	15.03 	57.7    	17.71
06:16.9     	15.10 	58.7    	17.70
06:17.8     	15.11 	57.0    	17.71
06:18.8     	15.14 	57.9    	17.71
06:19.7     	15.11 	55.9    	17.71
06:20.6     	15.02 	55.3    	17.72
06:21.4     	15.04 	55.6    	17.76
06:22.3     	15.03 	55.3    	17.79
06:23.3     	15.00 	55.1    	17.82
06:24.1     	14.96 	55.1    	17.86
06:25.0     	14.92 	55.2    	17.90
06:25.9     	14.93 	55.6    	17.94
06:26.8     	14.94 	56.0    	17.97
06:27.7     	14.96 	56.9    	18.02
06:28.6     	15.00 	56.6    	18.06
06:29.4     	15.05 	56.7    	18.11
06:30.4     	15.04 	56.7    	18.16
06:31.4     	15.06 	56.8    	18.21
06:32.2     	15.22 	58.6    	18.26
06:33.1     	15.42 	60.5    	18.31
06:34.0     	15.59 	60.8    	18.36
06:34.9     	15.68 	60.8    	18.41
06:35.8     	15.75 	60.6    	18.46
06:36.7     	15.82 	60.5    	18.51
06:37.5     	15.87 	60.2    	18.57
06:38.5     	15.86 	59.2    	18.62
06:39.4     	15.80 	60.2    	18.68
06:40.2     	15.79 	59.6    	18.74
06:41.1     	15.66 	58.5    	18.79
06:42.0     	15.57 	58.8    	18.84
06:42.9     	15.47 	59.3    	18.88
06:43.8     	15.35 	59.3    	18.93
06:44.7     	15.40 	61.9    	18.98
06:45.7     	15.23 	57.2    	19.00
06:46.6     	14.93 	56.6    	18.99
06:47.5     	14.78 	56.5    	18.99
06:48.3     	14.77 	57.6    	18.97
06:49.2     	14.74 	58.6    	18.95
06:50.1     	14.76 	59.2    	18.93
06:51.0     	14.82 	59.3    	18.92
06:51.9     	15.00 	60.4    	18.91
06:52.8     	15.21 	60.7    	18.93
06:53.7     	15.35 	59.8    	18.96
06:54.6     	15.45 	60.2    	18.99
06:55.5     	15.38 	60.4    	19.01
06:56.3     	15.34 	60.1    	19.04
06:57.2     	15.28 	59.9    	19.06
06:58.1     	15.25 	60.3    	19.08
