Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
05:11.7     	13.59 	94.8        	13.80
05:12.6     	13.60 	94.7        	13.80
05:13.5     	13.60 	94.7        	13.81
05:14.4     	13.61 	94.7        	13.81
05:15.2     	13.63 	94.6        	13.81
05:16.1     	13.64 	94.6        	13.81
05:17.0     	13.61 	94.5        	13.81
05:18.0     	13.60 	94.5        	13.80
05:18.9     	13.61 	94.4        	13.80
05:19.8     	13.62 	94.4        	13.80
05:20.7     	13.66 	94.3        	13.80
05:21.6     	13.65 	94.3        	13.80
05:22.5     	13.64 	94.2        	13.79
05:23.3     	13.62 	94.3        	13.79
05:24.2     	13.60 	94.2        	13.79
05:25.1     	13.59 	94.4        	13.78
05:26.0     	13.58 	94.4        	13.78
05:26.9     	13.58 	94.4        	13.78
05:27.8     	13.58 	94.3        	13.78
05:28.7     	13.58 	94.4        	13.77
05:29.6     	13.61 	94.4        	13.77
05:30.6     	13.60 	94.2        	13.77
05:31.4     	13.60 	94.1        	13.77
05:32.3     	13.57 	94.0        	13.76
05:33.2     	13.55 	93.9        	13.76
05:34.1     	13.53 	93.7        	13.75
05:35.0     	13.53 	93.7        	13.75
05:35.9     	13.53 	93.7        	13.74
05:36.8     	13.55 	93.7        	13.74
05:37.7     	13.58 	93.6        	13.73
05:38.6     	13.56 	93.7        	13.73
05:39.4     	13.55 	93.7        	13.73
05:40.3     	13.57 	93.7        	13.73
05:41.2     	13.59 	93.7        	13.73
05:42.1     	13.59 	93.7        	13.73
05:43.0     	13.60 	93.7        	13.73
05:44.0     	13.62 	93.7        	13.73
05:44.9     	13.60 	93.8        	13.73
05:45.8     	13.58 	94.0        	13.73
05:46.7     	13.58 	94.0        	13.73
05:47.5     	13.58 	93.9        	13.73
05:48.4     	13.58 	93.8        	13.73
05:49.3     	13.57 	93.8        	13.73
05:50.2     	13.56 	93.8        	13.73
05:51.1     	13.56 	93.7        	13.72
05:52.0     	13.56 	93.7        	13.72
05:52.9     	13.56 	93.8        	13.72
05:53.8     	13.55 	93.8        	13.72
05:54.7     	13.55 	93.8        	13.72
05:55.5     	13.55 	93.7        	13.71
05:56.4     	13.54 	93.7        	13.71
05:57.4     	13.54 	93.7        	13.71
05:58.3     	13.54 	93.7        	13.71
05:59.2     	13.54 	93.8        	13.70
06:00.1     	13.56 	93.8        	13.70
06:01.0     	13.58 	93.8        	13.70
06:01.9     	13.59 	94.0        	13.70
06:02.8     	13.62 	94.0        	13.70
06:03.7     	13.64 	94.1        	13.71
06:04.5     	13.64 	94.2        	13.71
06:05.4     	13.64 	94.3        	13.71
06:06.3     	13.64 	94.5        	13.71
06:07.2     	13.62 	94.6        	13.72
06:08.1     	13.61 	94.6        	13.72
06:09.0     	13.60 	94.6        	13.72
06:09.9     	13.60 	94.6        	13.73
06:10.8     	13.61 	94.6        	13.73
06:11.7     	13.62 	94.6        	13.73
06:12.6     	13.64 	94.5        	13.74
06:13.5     	13.65 	94.5        	13.74
06:14.5     	13.65 	94.4        	13.75
06:15.3     	13.67 	94.3        	13.75
06:16.2     	13.68 	94.2        	13.75
06:17.1     	13.70 	94.2        	13.76
06:18.0     	13.71 	94.3        	13.76
06:18.9     	13.68 	94.5        	13.77
06:19.8     	13.66 	94.7        	13.78
06:20.6     	13.63 	94.8        	13.78
06:21.6     	13.63 	94.9        	13.78
06:22.5     	13.63 	95.0        	13.79
06:23.3     	13.61 	95.1        	13.79
06:24.2     	13.59 	95.2        	13.80
06:25.2     	13.59 	95.2        	13.80
06:26.1     	13.60 	95.2        	13.80
06:27.0     	13.61 	95.2        	13.80
06:27.9     	13.63 	95.1        	13.81
06:28.8     	13.66 	95.0        	13.81
06:30.1     	13.69 	94.9        	13.81
06:30.6     	13.68 	94.9        	13.82
06:31.4     	13.65 	95.1        	13.82
06:32.3     	13.64 	95.2        	13.82
06:33.2     	13.64 	95.4        	13.83
06:34.1     	13.64 	95.2        	13.83
06:35.0     	13.62 	95.1        	13.83
06:35.9     	13.65 	95.3        	13.83
06:36.8     	13.66 	95.2        	13.83
06:37.7     	13.64 	95.3        	13.84
06:38.7     	13.66 	95.1        	13.84
06:39.5     	13.65 	94.6        	13.84
06:40.4     	13.63 	94.7        	13.84
06:41.3     	13.63 	94.8        	13.84
06:42.2     	13.63 	95.0        	13.84
06:43.1     	13.66 	95.0        	13.85
06:44.0     	13.68 	95.0        	13.85
06:44.9     	13.66 	95.3        	13.85
06:45.8     	13.72 	95.0        	13.86
06:46.7     	13.72 	95.0        	13.86
06:47.5     	13.69 	95.1        	13.86
06:48.4     	13.67 	95.3        	13.87
06:49.3     	13.66 	95.4        	13.87
06:50.2     	13.63 	95.5        	13.87
06:51.1     	13.62 	95.7        	13.87
06:52.1     	13.62 	95.6        	13.87
06:53.0     	13.62 	95.6        	13.87
06:53.9     	13.63 	95.5        	13.87
06:54.8     	13.62 	95.4        	13.87
06:55.6     	13.63 	95.6        	13.87
06:56.5     	13.66 	95.4        	13.87
06:57.4     	13.63 	95.5        	13.88
06:58.3     	13.62 	95.6        	13.88
06:59.2     	13.59 	95.5        	13.87
07:00.1     	13.57 	95.6        	13.87
07:01.0     	13.59 	95.5        	13.87
07:01.9     	13.60 	95.4        	13.87
07:02.8     	13.61 	95.4        	13.87
07:03.6     	13.64 	95.1        	13.87
07:04.5     	13.61 	95.1        	13.87
07:05.5     	13.58 	95.3        	13.86
07:06.4     	13.58 	95.3        	13.86
07:07.3     	13.57 	95.2        	13.86
07:08.2     	13.57 	95.2        	13.85
07:09.1     	13.60 	95.2        	13.85
07:10.0     	13.62 	95.0        	13.85
07:10.9     	13.62 	95.1        	13.85
07:11.7     	13.63 	95.2        	13.85
07:12.6     	13.63 	95.2        	13.85
07:13.5     	13.65 	95.0        	13.85
07:14.4     	13.65 	95.0        	13.85
07:15.3     	13.65 	95.1        	13.85
07:16.2     	13.63 	95.2        	13.85
07:17.1     	13.62 	95.2        	13.85
07:18.1     	13.59 	95.4        	13.85
07:19.0     	13.58 	95.5        	13.85
07:19.8     	13.56 	95.4        	13.85
07:20.7     	13.55 	95.5        	13.85
07:21.6     	13.56 	95.5        	13.85
07:22.5     	13.55 	95.4        	13.84
07:23.4     	13.56 	95.2        	13.84
07:24.3     	13.57 	95.0        	13.84
07:25.2     	13.57 	94.9        	13.83
07:26.1     	13.57 	94.8        	13.83
07:27.0     	13.56 	94.9        	13.82
07:27.8     	13.54 	94.7        	13.82
07:28.7     	13.52 	94.8        	13.81
07:29.6     	13.52 	94.8        	13.81
07:30.6     	13.52 	94.8        	13.81
07:31.5     	13.52 	94.9        	13.80
07:32.4     	13.52 	94.9        	13.80
07:33.3     	13.51 	94.8        	13.80
07:34.2     	13.52 	94.7        	13.79
07:35.1     	13.55 	94.6        	13.79
07:35.9     	13.56 	94.5        	13.78
07:36.9     	13.57 	94.5        	13.78
07:37.8     	13.56 	94.6        	13.78
