Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
05:54.9     	16.71 	70.5    	16.58
05:55.7     	16.84 	71.6    	16.62
05:56.6     	16.95 	72.0    	16.66
05:57.6     	16.78 	69.6    	16.70
05:58.5     	16.39 	69.9    	16.72
05:59.4     	16.09 	69.2    	16.73
06:00.3     	15.77 	69.3    	16.73
06:01.1     	15.71 	70.5    	16.73
06:02.0     	15.73 	71.6    	16.72
06:02.9     	15.92 	72.4    	16.72
06:03.8     	16.14 	73.0    	16.72
06:04.7     	16.37 	73.2    	16.73
06:05.8     	16.59 	72.0    	16.74
06:06.5     	16.65 	71.6    	16.75
06:07.4     	16.37 	70.2    	16.76
06:08.4     	16.14 	68.8    	16.77
06:09.2     	15.96 	69.2    	16.77
06:10.1     	16.01 	70.8    	16.78
06:11.0     	16.15 	71.6    	16.79
06:11.9     	16.27 	69.1    	16.79
06:12.8     	16.19 	70.5    	16.78
06:13.7     	16.46 	72.2    	16.80
06:14.6     	16.65 	72.4    	16.83
06:15.5     	16.83 	71.1    	16.85
06:16.4     	16.80 	70.1    	16.88
06:17.3     	16.75 	70.3    	16.90
06:18.1     	16.69 	70.3    	16.93
06:19.1     	16.64 	70.6    	16.95
06:20.0     	16.75 	71.9    	16.98
06:20.9     	16.80 	71.8    	17.01
06:21.8     	16.48 	70.1    	17.03
06:22.7     	16.17 	68.9    	17.03
06:23.5     	16.05 	70.0    	17.03
06:24.4     	15.89 	69.5    	17.02
06:25.4     	15.90 	70.7    	17.01
06:26.2     	15.97 	71.4    	17.01
06:27.1     	16.16 	70.8    	17.01
06:28.0     	15.91 	69.4    	17.01
06:28.9     	15.91 	70.1    	17.01
06:29.9     	15.93 	70.4    	17.01
06:30.8     	15.96 	70.4    	17.02
06:31.6     	15.94 	69.6    	17.02
06:32.5     	15.82 	69.3    	17.02
06:33.4     	15.81 	69.6    	17.02
06:34.3     	15.89 	70.6    	17.02
06:35.2     	15.97 	70.4    	17.02
06:36.1     	16.04 	70.8    	17.02
06:37.0     	16.24 	71.4    	17.03
06:37.9     	16.35 	71.1    	17.03
06:38.8     	16.33 	70.3    	17.04
06:39.6     	16.28 	70.8    	17.04
06:40.5     	16.09 	69.9    	17.03
06:41.5     	15.99 	69.0    	17.02
06:42.4     	15.68 	68.7    	17.01
06:43.3     	15.54 	69.4    	16.97
06:44.2     	15.51 	70.5    	16.93
06:45.0     	15.55 	69.7    	16.90
06:46.0     	15.72 	70.1    	16.87
06:46.9     	15.72 	70.4    	16.85
06:47.7     	15.78 	70.5    	16.83
06:48.6     	15.91 	71.3    	16.81
06:49.5     	16.01 	69.4    	16.80
06:50.5     	15.72 	68.7    	16.77
06:51.4     	15.59 	68.9    	16.74
06:52.3     	15.63 	71.2    	16.74
06:53.1     	15.61 	69.3    	16.71
06:54.0     	15.52 	69.5    	16.68
06:54.9     	15.52 	70.0    	16.65
06:55.8     	15.73 	72.7    	16.64
06:56.7     	15.98 	71.8    	16.63
06:57.6     	16.18 	71.3    	16.63
06:58.5     	16.05 	70.5    	16.63
06:59.4     	16.07 	68.7    	16.62
07:00.3     	15.93 	68.8    	16.61
07:01.1     	16.14 	71.2    	16.62
07:02.1     	16.26 	72.3    	16.64
07:03.0     	16.17 	69.1    	16.64
07:03.9     	15.88 	67.8    	16.64
07:04.8     	15.66 	70.4    	16.63
07:05.7     	15.86 	72.3    	16.63
07:06.5     	15.98 	71.8    	16.63
07:07.4     	16.00 	71.7    	16.63
07:08.4     	15.91 	70.2    	16.63
07:09.2     	15.83 	69.9    	16.63
07:10.1     	15.69 	69.7    	16.63
07:11.0     	15.53 	69.5    	16.63
07:12.0     	15.44 	70.0    	16.63
07:12.8     	15.42 	69.8    	16.62
07:13.7     	15.44 	70.3    	16.61
07:14.6     	15.56 	71.3    	16.60
07:15.5     	15.77 	72.3    	16.60
07:16.4     	16.05 	72.5    	16.60
07:17.3     	16.09 	71.0    	16.61
07:18.2     	16.29 	72.1    	16.62
07:19.1     	16.56 	72.9    	16.64
07:19.9     	16.71 	71.8    	16.66
07:20.9     	16.49 	70.8    	16.68
07:21.8     	16.47 	70.8    	16.70
07:22.7     	16.53 	71.3    	16.72
07:23.6     	16.39 	69.9    	16.74
07:24.5     	16.33 	71.1    	16.76
07:25.4     	16.29 	70.3    	16.77
07:26.3     	16.15 	69.1    	16.78
07:27.2     	16.05 	70.0    	16.79
07:28.0     	16.27 	71.4    	16.80
07:28.9     	16.29 	70.8    	16.81
07:29.8     	16.11 	68.9    	16.81
07:30.7     	16.12 	71.0    	16.81
07:31.6     	15.95 	68.8    	16.81
07:32.6     	15.74 	68.8    	16.80
07:33.5     	15.74 	70.4    	16.79
07:34.4     	15.86 	69.7    	16.78
07:35.3     	15.78 	69.3    	16.77
07:36.1     	15.88 	71.7    	16.76
07:37.0     	16.19 	74.0    	16.75
07:37.9     	16.17 	69.1    	16.74
07:38.8     	15.95 	68.9    	16.72
07:39.7     	15.73 	69.0    	16.70
07:40.6     	15.73 	70.2    	16.69
07:41.5     	15.99 	72.6    	16.68
07:42.4     	16.23 	71.9    	16.68
07:43.3     	16.41 	72.1    	16.69
07:44.2     	16.57 	72.0    	16.70
07:45.1     	16.54 	70.6    	16.72
07:46.0     	16.40 	67.2    	16.72
07:46.9     	15.93 	68.1    	16.72
07:47.8     	15.84 	69.2    	16.72
07:48.7     	15.79 	67.8    	16.71
07:49.5     	15.59 	68.3    	16.69
07:50.4     	15.61 	69.8    	16.71
07:51.3     	15.77 	70.4    	16.67
07:52.2     	15.89 	70.2    	16.66
07:53.2     	15.94 	68.9    	16.64
07:54.1     	15.92 	68.4    	16.65
07:54.9     	15.64 	68.2    	16.63
07:55.8     	15.57 	69.5    	16.60
07:56.8     	15.73 	70.5    	16.59
07:57.6     	15.98 	70.9    	16.58
07:58.5     	16.09 	69.1    	16.57
07:59.4     	15.98 	70.7    	16.56
08:00.3     	16.03 	69.1    	16.55
08:01.2     	16.22 	70.2    	16.55
08:02.1     	16.14 	69.5    	16.55
08:03.0     	16.05 	68.6    	16.54
08:03.8     	16.05 	69.4    	16.54
08:04.9     	15.83 	66.8    	16.53
08:05.7     	15.65 	66.3    	16.51
08:06.6     	15.81 	70.5    	16.51
08:07.5     	15.88 	68.8    	16.50
08:08.4     	15.79 	67.8    	16.50
08:09.3     	15.81 	68.5    	16.50
08:10.2     	15.87 	68.3    	16.49
08:11.1     	15.76 	68.1    	16.48
08:11.9     	15.84 	68.6    	16.47
08:12.8     	15.91 	71.4    	16.47
08:13.7     	16.23 	70.8    	16.48
08:14.6     	16.23 	68.3    	16.47
08:15.6     	15.98 	67.6    	16.47
08:16.5     	16.08 	70.0    	16.48
08:17.4     	16.22 	69.9    	16.49
08:18.3     	16.25 	69.7    	16.50
08:19.2     	16.29 	70.0    	16.51
08:20.0     	16.60 	72.3    	16.54
08:20.9     	16.70 	70.8    	16.56
08:21.8     	16.64 	70.2    	16.58
08:22.7     	16.41 	67.6    	16.60
08:23.6     	16.08 	65.9    	16.62
08:24.5     	15.87 	66.6    	16.62
08:25.4     	15.89 	69.9    	16.63
08:26.3     	16.08 	68.9    	16.63
08:27.3     	15.77 	66.3    	16.62
08:28.1     	15.61 	67.0    	16.61
08:29.0     	15.52 	67.4    	16.60
08:29.9     	15.47 	67.6    	16.59
08:30.8     	15.51 	69.1    	16.58
08:31.7     	15.66 	69.6    	16.57
08:32.6     	15.80 	70.3    	16.56
08:33.5     	15.97 	70.0    	16.55
08:34.3     	16.15 	70.6    	16.55
08:35.2     	16.37 	70.7    	16.56
08:36.1     	16.41 	69.6    	16.57
08:37.0     	16.67 	71.1    	16.59
08:38.0     	16.55 	68.8    	16.61
08:38.9     	16.53 	69.9    	16.63
08:39.8     	16.67 	70.5    	16.65
08:40.7     	16.66 	70.0    	16.67
08:41.5     	16.53 	68.4    	16.69
08:42.4     	16.39 	69.3    	16.71
08:43.3     	16.48 	68.7    	16.72
08:44.2     	16.31 	69.3    	16.74
08:45.1     	16.10 	68.5    	16.74
08:46.0     	16.07 	70.0    	16.74
08:46.9     	16.03 	69.4    	16.74
08:47.8     	16.05 	68.9    	16.74
08:48.8     	15.81 	68.1    	16.72
08:49.6     	15.75 	69.3    	16.70
