Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
05:10.7     	8.08  	90.0        	8.22
05:11.7     	8.08  	90.0        	8.22
05:12.6     	8.09  	90.0        	8.22
05:13.5     	8.10  	89.9        	8.21
05:14.4     	8.10  	89.9        	8.21
05:15.3     	8.11  	89.8        	8.21
05:16.1     	8.11  	89.8        	8.21
05:17.0     	8.12  	89.8        	8.20
05:17.9     	8.14  	89.7        	8.21
05:18.8     	8.15  	89.7        	8.20
05:19.7     	8.15  	89.6        	8.20
05:20.6     	8.16  	89.6        	8.20
05:21.5     	8.17  	89.6        	8.20
05:22.4     	8.19  	89.5        	8.20
05:23.3     	8.19  	89.5        	8.20
05:24.1     	8.20  	89.5        	8.19
05:25.0     	8.19  	89.5        	8.19
05:26.0     	8.18  	89.6        	8.19
05:26.9     	8.18  	89.6        	8.19
05:27.8     	8.17  	89.7        	8.19
05:28.7     	8.17  	89.7        	8.19
05:29.6     	8.16  	89.8        	8.19
05:30.5     	8.15  	89.8        	8.19
05:31.4     	8.15  	89.8        	8.19
05:32.2     	8.17  	89.8        	8.19
05:33.1     	8.18  	89.7        	8.19
05:34.0     	8.20  	89.7        	8.19
05:34.9     	8.21  	89.7        	8.19
05:35.8     	8.22  	89.6        	8.19
05:36.7     	8.23  	89.6        	8.19
05:37.5     	8.22  	89.7        	8.19
05:38.6     	8.23  	89.7        	8.19
05:39.5     	8.23  	89.7        	8.19
05:40.3     	8.23  	89.7        	8.19
05:41.2     	8.23  	89.7        	8.19
05:42.1     	8.23  	89.7        	8.19
05:43.0     	8.22  	89.7        	8.19
05:43.9     	8.21  	89.8        	8.19
05:44.8     	8.21  	89.8        	8.19
05:45.6     	8.20  	89.8        	8.19
05:46.6     	8.21  	89.8        	8.19
05:47.5     	8.21  	89.9        	8.19
05:48.3     	8.21  	89.9        	8.19
05:49.2     	8.22  	89.8        	8.19
05:50.1     	8.22  	89.8        	8.19
05:51.0     	8.23  	89.8        	8.20
05:52.0     	8.23  	89.8        	8.20
05:52.9     	8.23  	89.8        	8.20
05:53.8     	8.24  	89.8        	8.20
05:54.7     	8.24  	89.8        	8.20
05:55.6     	8.24  	89.7        	8.20
05:56.4     	8.24  	89.7        	8.20
05:57.3     	8.23  	89.8        	8.20
05:58.2     	8.22  	89.9        	8.20
05:59.1     	8.22  	89.9        	8.20
06:00.0     	8.21  	90.0        	8.20
06:00.9     	8.19  	90.1        	8.20
06:01.8     	8.20  	90.3        	8.20
06:02.0     	8.19  	90.3        	8.20
06:02.6     	8.20  	90.1        	8.20
06:03.7     	8.20  	90.1        	8.20
06:04.5     	8.20  	90.1        	8.20
06:05.4     	8.20  	90.1        	8.20
06:06.3     	8.20  	90.1        	8.20
06:07.2     	8.20  	90.1        	8.20
06:08.1     	8.20  	90.1        	8.20
06:09.0     	8.19  	90.2        	8.20
06:09.8     	8.19  	90.2        	8.20
06:10.8     	8.18  	90.2        	8.20
06:11.7     	8.17  	90.3        	8.20
06:12.5     	8.17  	90.3        	8.20
06:13.4     	8.17  	90.3        	8.20
06:14.3     	8.16  	90.4        	8.20
06:15.2     	8.16  	90.4        	8.20
06:16.1     	8.16  	90.5        	8.20
06:17.1     	8.15  	90.5        	8.20
06:17.9     	8.15  	90.5        	8.20
06:18.9     	8.15  	90.6        	8.20
06:19.8     	8.15  	90.6        	8.20
06:20.6     	8.15  	90.6        	8.20
06:21.5     	8.14  	90.5        	8.20
06:22.4     	8.13  	90.5        	8.20
06:23.3     	8.13  	90.5        	8.20
06:24.2     	8.13  	90.5        	8.20
06:25.1     	8.12  	90.6        	8.20
06:26.0     	8.10  	90.7        	8.20
06:26.9     	8.10  	90.6        	8.19
06:27.8     	8.11  	90.6        	8.19
06:28.6     	8.11  	90.5        	8.19
06:29.6     	8.12  	90.5        	8.19
06:30.5     	8.12  	90.4        	8.19
06:31.4     	8.11  	90.5        	8.19
06:32.3     	8.10  	90.5        	8.18
06:33.2     	8.11  	90.5        	8.18
06:34.0     	8.10  	90.4        	8.18
06:34.9     	8.10  	90.4        	8.18
06:35.9     	8.10  	90.4        	8.18
06:36.7     	8.10  	90.4        	8.18
06:37.6     	8.08  	90.5        	8.17
06:38.5     	8.08  	90.5        	8.17
06:39.4     	8.08  	90.5        	8.17
06:40.3     	8.09  	90.5        	8.17
06:41.2     	8.11  	90.5        	8.17
